text,isTelecoms
"Title: ACCEPT - Assistant for Quality Check during Construction Execution Processes for Energy-efficienT buildings Abstract: Assistant for Quality Check during Construction Execution Processes for Energy-efficienT buildings

Problem: What the consortium sees as a major problem today is the potential loss of benefits of energy-efficient building components because of the lack of knowledge or bad implementation during the construction processes.


Solution: During the project ACCEPT will be created – An assistant for quality check during construction execution processes for energy-efficienT buildings. The assistant will run on Smart Glasses and unobtrusively guide workers during the construction on site. This provides a standardized and coordinated process for all workers, ensuring that all benefits of energy-efficient building components are maintained.

From a user perspective ACCEPT is focused on the following very clear main results:

1. The Construction Operator Assistant App (CoOpApp) running on Smart Glasses, which passively collects data and actively provides guidance to the worker on site during the building process. (Pillar I: Advanced Knowledge Transfer for Energy-efficient Construction)
2. A Site Manager App (SiMaApp)   running on a mobile device, which allows to remotely coordinate the working process as well as collect additional data on site by different sensors. (Pillar II: Agile Project Coordination for Bridging Heterogeneity)

3. An interactive web-based Dashboard as a monitoring and quality assurance solution. The Dashboard will use self-inspection methods to determine important characteristics such as U-Values. (Pillar III: Adaptive Quality Assurance with Self-Inspection Features)

The project is fully build around achieving a maximum of impaxt: The three results will be accompanied by 7 real-world pilots grouped into 3 piloting areas within the project. Pilots are located in 4 different EU countries.",True
"Title: ONE5G - E2E-aware Optimizations and advancements for the Network Edge of 5G New Radio Abstract: ONE5G commits to provide technical investigations and recommendations to evolve ‘5G’ towards ‘5G advanced’ as requested by the work program. Release 15 from 3GPP is about to set up a valuable initial specification for paving the way to reach the ultimate goals for 5G. However, we see major aspects not yet reasonably covered, requiring more research activities to happen: - Means ensuring 5G to be consistently rolled-out not only in agglomerations, but also in less densely populated areas, to  avoid the digital divide to occur as in earlier generations.
- Means ensuring 5G to support all foreseen services efficiently and concurrently in a generic way, to avoid the emergence of a set of specialised solutions lacking synergy effects such as economy of scale and multiplexing gains.
- Means ensuring 5G to efficiently handle all degrees of heterogeneity stemming from the multiplicity of services and environments, network nodes and devices, spectrum bands and access types (licensed, unlicensed and lightly licensed).

In ONE5G, 14 experienced European players of wireless research are gathering to jointly drive forward the vision of 5G by 
- delivering advanced link enhancements beyond Release 15, including efficient multi-service access schemes, advanced massive MIMO enablers and link management mechanisms
- researching and proposing highly generic performance optimization schemes for 5G, to achieve successful deployment and operation, including optimizations for both the network operator and the E2E user-experienced performance
- identifying the cost driving elements for the roll-out and operation and to propose adaptations to allow sustainable provision of wireless services everywhere
- validating the developed extensions and modifications through different approaches: analytically, by means of extensive simulations and with selected proof-of-concepts
- producing a high number of valuable publications, IPR and standardization contributions",True
"Title: KDRP - KiWi Power Limited’s Revolutionary, Low Cost, Demand Response Platform (KDRP) Abstract: CHALLENGE: Demand response (DR) is central to the successful evolution of a new low carbon electricity system in order to deliver grid flexibility & stability, however it is progressing slowly in the EU due to technological barriers which prevent widespread uptake: high in cost hardware (€4.000 - €6.000); not specifically designed for DR → lack critical functionality (e.g. wireless communication, integration of renewables); & not sufficiently open for wider industry participation.

PROPOSED SOLUTION:  To address the need for innovations that overcome principal barriers to DR, this project seeks to advance KPLs Energy Management Platform, KEMP, from a prototype demonstrated in a relevant environment (TRL6) to complete & qualified commercial prototype (TRL8).  KEMP is a low cost, automated ancillary services platform which consists of: [1] Unique hardware: multi-asset control; first platform to integrate renewable assets; wireless communication between assets → reduced installation cost; & sec. by sec. meter readings – requirement for Frequency Response programmes.  [2] Innovative software: cloud based – for greater scalability; flexibility & remote monitoring,  forecasting model - for integration of renewables; & optimisation engine - to  max. revenues.

END USERS: [1] Initial target = large scale commercial & industrial (C&I) orgs with high MW capacity (>1MW) e.g. financial, telecoms, hospitals, hotels etc. Asset types: DRUPS systems & HVAC. [2] Secondary target = SMEs with low MW capacity (50kW< capacity < 1MW) incl. Water Pump Stations, Small Data Centres, Retail Stores. Asset types: Variable Speed Motors, HVAC, UPS systems etc.

STUDY OBJECTIVES: tech validation, market analysis, economic & business assessment, operational  capacity analysis. Activities will be delivered within a 4 month period, & result in a comprehensive feasibility report detailing the next steps towards development & commercialisation, forming the basis of the SMEI Phase II Business Plan.",True
"Title: CORAL - COntrolling network RAndom Lasers on chip Abstract: The photonics industry in Europe is in rapid growth, lasers in particular have played a central role in several technological developments for many decades, from communications to medicine. As photonic devices shrink in both physical size and power consumption, integrated photonic devices will increasingly penetrate into consumer products such as smartphones and photonic sensors, for various applications from motion detection to navigation of autonomous vehicles. 
The European Industrial doctorate program CORAL will address the increasing need for educated professionals in this field, by the training of two young researchers in photonics technology and in particular in the relatively new field of random lasers, which is at the cross-roads between nanophotonics and neuromorphic applications.
CORAL proposes a training programme between two world-class institutions, IBM and Imperial College London (ICL) each bringing in unique expertise and providing an appropriate balance of applied industrial research as well as in-depth understanding of the underlying physics. 
CORAL will bridge the entire value chain in III-V photonics integration based on both bonding and direct monolithic growth to establishing a simulation framework for networks of nanolasers. Both ESRs will gain experience with hands-on laser fabrication in the IBM cleanroom facilities, combined with various  optical characterization routines at both IBM and ICL, and they will gain a deep understanding of laser physics from the advanced simulation at ICL. In addition to providing them with a scientific training meeting the needs of the European photonics industry, this will also push the emerging field of random laser networks towards a new level of maturity based on a III-V on silicon platform. Thereby, opening up for  potential integration with silicon CMOS, and an entirely new range of applications.",True
"Title: CHROMPART - Partition calculus on graphs, digraphs and hypergraphs with uncountable chromatic number Abstract: Our main goal is to develop the theory of partition calculus on graphs, digraphs and hypergraphs with emphasis on interactions between one-and multi-dimensional relations. Such global characteristics crucially depend on local, often finitary structural properties. This places our project at the meeting point of finite and infinite combinatorics with logic and set theory.  Some of the most important questions that motivate our investigations were first raised by P. Erdős and A. Hajnal in the 1960s. Their problems still guide research across finite and infinite combinatorics including the most recent works of R. Diestel, N. Hindman, P. Komjáth, C. Thomassen, S. Todorcevic, and S. Shelah.    Our main objective is to investigate ramification arguments between Ramsey-results of varying dimensions. In fact, (1) we study if graphs with uncountable chromatic number necessarily satisfy the same higher-dimensional negative partition relations as uncountable complete graphs.  We relate this theme to (2) the existence of orientations with large dichromatic number and partition relations on digraphs. Lastly, we explore a novel concept, (3) the existence of oscillation maps on the obligatory hypergraph associated to a graph with uncountable chromatic number.  Our program will be carried out through solving specific, often well-known open problems that are central to these themes. We aim to study both the purely combinatorial and the deep foundational issues that underlie these questions.  Hence, we will complement the use of advanced forcing techniques from set theory (such as mixed side-condition methods and new iteration preservation theorems) with novel combinatorial tools, such as minimal walks, oscillation maps and various ZFC construction scheme techniques. We expect our research to produce new methods of wide impact and a significantly deeper understanding of the interactions of finite and infinitary combinatorics.",False
"Title: FlexTrans - a universal thin film transistor platform for flexible and curved displays Abstract: SKEM proposes a project which will accelerate the uptake of their flexible transistor platform technology (incorporating their proprietary organic semiconductor, truFLEX), into backplane drivers for the manufacture of flexible and curved electronic displays. SKEM’s technology enables the low temperature processing of high performance transistors onto plastic for the first time. This allows mechanical flexibility to be combined with electronic performance previously only demonstrated by rigid inorganics, along with significant reductions to processing costs.
This will enable SKEM’s customers to produce entirely new form factors for display-based consumer electronics: flexible, body conforming, lightweight, unbreakable devices with high resolution and low power consumption (longer battery lifetimes). This can be achieved with low risk to adoption, using refitted standard production lines. As a universal transistor platform, SKEM will supply the existing market for liquid crystal displays (LCDs), while also facilitating the new market for organic light emitting diode (OLED) displays.
The project will involve customer engagement (customers are already engaged in joint development work, showing commitment with signed Letters of Intent) and commercial planning (WP2), development of the technology platform to meet customer requirements (WP3), demonstration of the technology in full display devices (WP4) and preparation for commercial roll out, involving technology transfer to industrial process lines, and scale-up of truFLEX production (WP5). A strong regime of project management (WP1) dissemination and communication (WP6) will support the aims of the project. These developments will elevate the technology from initial demonstration in the relevant industrial application (TRL6 - first LCD demonstrator completed prior to project), to full commercial readiness after the project (TRL9). SKEM will obtain EUR 200m sales by 2023 at a viable price point of EUR4,000/litre.",True
"Title: SOLSTICE - Sodium-Zinc molten salt batteries for low-cost stationary storage Abstract: SOLSTICE answers the quest for stationary energy storage with two Na-Zn molten salt batteries, which operate at elevated temperature. The first concept benefits from the existing and successful ZEBRA® technology. Replacing their Ni-electrode by cheap and abundant Zn will only minimally affect other system parts thereby ensuring fast commercialisation. The second approach, an all-liquid cell, will apply the same chemistry, but does not require a ceramic electrolyte thus reducing cost further. Both battery concepts shall be brought to TRL5, and validated by four demonstrators, operating in a realistic environment at the end of the 4-year project. The demonstrators will be equipped with a self-learning battery management system and will be accompanied by upscaling, system integration and public acceptance studies. Na-Zn technology is exceptionally performant as it promises similar efficiency and depth of discharge as Li-ion cells, but extreme current densities. Featuring molten electrodes, Na-Zn cells actually work better when being cycled, as operation keeps them warm; several cycles per day and a lifetime exceeding 10,000 cycles can be legitimately expected. Na-Zn storage is perfectly sustainable: the raw materials, table salt and Zn, are abundant in the EU, cheap and not harmful. The environmental impact of Zn-mining and battery production is expected to be minimal. Finally, recycling is greatly simplified due to the large, molten electrodes. The most valuable element, Zn, can simply be recovered as pure metal and reused after dismantling the cells. Based on the existing knowledge on ZEBRA® battery production, the storage price of Na-Zn batteries is expected to approach 1 cent/kWh/cycle by 2030 - including balance-of-plant and recycling cost. Summing up, the Na-Zn technology is the cheapest molten-salt battery, is fully sustainable, fulfils all criteria of the call - and is even realistic to be commercialised by 2030.",False
"Title: MS SPIDOC - Mass Spectrometry for Single Particle Imaging of Dipole Oriented protein Complexes Abstract: The European XFEL has just entered user operation. With its unparalleled peak brilliance and repetition rate, European XFEL has the potential to further applications in single particle imaging (SPI), thus far limited to large viral particles at X-ray Free-Electron Lasers (XFEL). SPI will allow imaging protein complexes without the need for crystallization. This eventually renders transient conformational states accessible for high resolution structural studies yielding molecular movies of biomolecular machines. A major bottleneck is the wealth of data required to reconstruct a single structure leading to long processing times. This is currently also a problem in electron microscopy (EM).
MS SPIDOC will overcome this data challenge by developing a native mass spectrometry (MS) system for sample delivery, named X-MS-I. It will provide mass and conformation selected biomolecules, which are oriented along their dipole axis upon imaging. This will enable structural reconstruction from much smaller datasets speeding up the analysis time tremendously. Moreover, the system features low sample consumption and a controlled low background easing pattern identification.
The main objectives of the project are:
• Deliver mass and conformation separated biomolecules for SPI.
• Orient proteins for SPI.
• Image protein complex unfolding
• Exploit potential of protein orientation for other applications
The MS SPIDOC consortium combines internationally leading expertise in different fields relevant to the project: Instrument design and development, computer simulations as well as working with biomolecules in the gas phase and on SPI are combined to implement the novel sample environment at the next generation XFEL facility. New components and methods will be opened to the market and thereby strengthen the European Research Area (ERA) and industry. This early stage high-risk project will give rise to a new technology with major impact on how to derive structures of biomolecules.",False
"Title: PhilHumans - Personal Health Interfaces Leveraging Human-Machine Natural Interactions Abstract: The goal of the PhilHumans (Personal Health Interfaces Leveraging Human-MAchine Natural interactionS) project is to train a next generation of young researchers in innovative Artificial Intelligence (AI) and establish user interaction with their personal health devices in an advanced and intuitive way. PhilHumans will investigate cutting-edge AI methods for human-machine interaction in the personal health domain through a well-designed and structured research training programme, with the aim to enhance EU firms competitiveness in the field for an effective and lasting market penetration in EU.
The research in PhilHumans will be performed by an intersectoral and multidisciplinary consortium consisting of 8 ESRs and a team of supervisors from the academic beneficiaries (University of Cagliari, University of Catania, University of Aberdeen, and Technical University of Eindhoven (TU/e)), the industrial beneficiaries (PHILIPS and R2M), and other external partners. The project will require the creation of a blend of interdisciplinary understanding of personal digital assistant, cognitive computing, (deep) machine learning, natural language generation & processing, advanced computer vision, and business development. The personal health areas that will be investigated are Mother&Child care, healthy-living and personal care, where the application of the proposed technology has promising potential.
All ESRs will enroll in a 3-years PhD research programme at beneficiary academic institutions. They are supposed to act as an integrated and complementary expertize team, whose aim is to tackle the fundamental challenge of combining heterogeneous data sources from multilingual speech/text processing and computer vision for improving conversation, detecting emotions, and improving social interactions. All the academic ESRs for at least 50% of their time will attend their secondment at PHILIPS, which will provide the required infrastructure and supervision by senior research staff.",False
"Title: TWEETHER - Traveling Wave Tube based W-band Wireless Networks with High Data Rate, Distribution, Spectrum and Energy Efficiency Abstract: Never technology has penetrated so deeply and fast in society everyday life as Internet has done in the last decades and is expected to do in the future. The enormous flux of data transferred via wireless networks, increasing at exponential pace, makes today’s state of the art networks soon outdated. Large parts of the society are deprived of adequate access to Internet due to the high costs, long deployment time of optical fibres and inadequate performance of wireless networks. This inequality will most likely pertain in the next years. 
Millimetre waves are the most promising solution to support the increasing data throughput and to be a credible fibre complement for the last miles.
The TWEETHER aim is to realise the millimetre wave Point to multi Point segment to finally link fibre, and sub-6GHz distribution for a full three segment hybrid network, that is the most cost-effective architecture to reach mobile or fixed final individual client. The TWEETHER project responds to the call H2020-ICT6, to foster smart wireless network architecture for high capacity everywhere outdoor data distribution, in gigabit class, that other technologies cannot support, at low operating cost. High spectrum and energy efficient W-band (92-95GHz) technology will be developed. A powerful and compact transmission hub based on a novel traveling wave tube power amplifier with performance precluded to any other technology and an advanced chipset in a compact terminal will be realised. The TWEETHER system will be tested in a real operating environment. Integrated smart networks of backhaul for 4G and 5G small cells and of access for residential houses are the targeted market that benefits from the actual light regulation of W-band. 
A big company Thales Electron Devices, four SMEs, Bluwan, OMMIC, HFSE, Fibernova, and three top Universities, Lancaster, Goethe Frankfurt, Politecnica de Valencia, join their expertise to successfully tackle the formidable challenges of the TWEETHER project.",True
