text,isTelecoms
"Title: UKRAINE - UKraine Replication, Awareness and INnovation based on EGNSS Abstract: The objective of the UKRAINE project, in line with GALILEO-3-2014 Call, are to foster application development through international cooperation and to create a broad acceptance of EGNSS in Ukraine, creating at the same time opportunities both for knowledge building and at commercial level. The contribution of the UKRAINE project with respect to the aforementioned objectives relates to the achievement of the following impacts:
- preparation of the Ukrainian aviation market to the extension of EGNOS
- support to the uptake of regulated EGNSS applications through the elaboration of a legislative roadmap
- generation of innovative solutions for multimodal logistics and dangerous goods
- creation of business matchmaking opportunities for Ukrainian and EU companies

These impacts will be achived by a set of coordinated actions:
1. performing a study on integrating the Ukrainian legal framework to key European directives and regulations on EGNSS transport
2. working on aviation as the starting point for the extension of EGNOS to Ukraine, by a) preparing the ground for LPV procedures, b) working on GNSS signal monitoring and c) setting the required legal framework
3. innovating in the field of EGNSS tracking and tracing of Dangerous Goods and performing a pilot on multimodal freight transport
4. creating business matchmaking opportunities between EU and Ukrainian companies and engaging GNSS stakeholders through a contest on a multiconstellation receiver
5. disseminating results through pilots, demonstrators and an extensive communication campaign

The maximum possible involvement of Ukrainian stakeholders will be ensured by a) the direct involvement of the State Space Agency of Ukraine, the National Aviation University and the Technical Polytechnic of Kiev (KPI), b) the organization of events, matchmaking opportunities and contests targeting Ukrainian entities and c) the vision to release products on the Ukrainian market",1
"Title: HiFi-ELEMENTS - High Fidelity Electric Modelling and Testing Abstract: Within the automotive product development cycle virtual and heterogeneous testing is becoming increasingly established through component, module and vehicle-level simulation and Hardware-in-the-Loop test-beds—enabled by ever increasing computing power and communications bandwidth available.
Though a number of standards in this field have been established (FMI, ASAM XiL API), models are still mostly created in a fragmented manner: using domain-specific tools to create, manage and execute simulations; no standardisation of the content of the functional interfaces (FMI does standardise the format); limited scalability. This fragmentation leads to a lot of redundant effort as models of the same component or system are re-created several times.
HiFi-ELEMENTS will address this fragmentation through two main mechanisms: Firstly, we will develop, validate and publish a recommendation for standardisation of model interfaces for common e-drive components (e-machine, inverter, battery, DC/DC converter, thermal management system), and will implement compliant versions of existing models. Secondly, we will implement a seamless workflow linking extended versions of existing tools—a model/data management tool and a co-simulation tool for MiL and HiL environments—augmented with effort-saving automated methods for model parameterisation and test case generation.
 Validation of standardised models and workflow will be done in 4 industrially relevant use cases depicting 4 common scenarios in e-drivetrain and EV development. On project conclusion, the interface recommendations and workflow methods will be disseminated in order to gain widespread EV-industry adoption. Consortium partners are very intensive users of virtual testing and will directly use the project results, while tool vendor partners will exploit the results by bringing extended software tools to market.",1
"Title: PreventIT - Early risk detection and prevention in ageing people by self-administered ICT-supported assessment and a behavioural change intervention delivered by use of smartphones and smartwatches Abstract: Lifestyle, disease and biology put older people at risk of functional decline, leading to falls, cognitive impairment, frailty, and negative consequences for quality of life. PreventIT will develop and test an ICT based mHealth System (iPAS) for the consumer market that 1) enables early identification of risk of age-related functional decline, and 2) engenders behavioural change in younger older adults in order to adopt a healthy, active lifestyle. We will use an integrated system of a smartphone/watch as frontend technology and a protected cloud-based solution for handling of personal data as backend technology. We will develop online instruments for risk-screening, complexity metrics, motivation for behavioural change, and a method for personalise exercise by phenotype, based on currently available big data sets. The ICT based intervention we develop is unique, delivered on a smartphone/watch with exercise integrated in daily life and a behaviour change programme. We will evaluate the role of technology and behavioural change theories in risk prevention by performing a multinational feasibility RCT to compare with the same intervention without use of technology and with practice as usual. Usability and feasibility will be in focus, and ageing people will be included in all phases of the project. At the end of the project all assessment and intervention components will be integrated into a personalised self-administered activity system, designed to empower ageing people to control their own health and function. A microsimulation health economics model will be developed to predict effects of our risk prevention intervention on carers and the health care system. PreventIT will be performed by a strong interdisciplinary team with previous impact in the field of ageing and ICT, and commercial partners who are strong on technology development and exploitation are included to increase the chances for iPAS to become a first choice mHealth system for the ageing generation.",1
"Title: XMOS - Multimodal context and voice recognition for seamless voice control technology interfaces with low upfront cost Abstract: The “Internet of Things” is adding intelligent capabilities and connectivity to all kinds of objects in our environments. With potentially hundreds of smart devices surrounding us in our everyday, we need easier, more natural ways to interact with these technologies – which free our hands from controls, and help us put down our smartphones with their endless apps and distractions. While voice control is becoming a widely accepted alternative, it is not yet sufficiently robust and reliable for use in many situations.
XMOS are playing a fundamental role in the development of a next generation of human-machine interfaces – using natural language, the highly-developed systems of speech and gestures etc. used when people communicate. Embedded within their customers’ consumer electronics, this will enable devices to recognise and understand us, reading context and quickly interacting like another person would – but anonymously and securely, using sound and radar. XMOS’ capabilities will drive new classes of voice controlled devices, with low upfront cost allowing ubiquitous deployment of voice control, and higher quality user experience.
The experienced XMOS team has successfully commercialised their flexible XCore microprocessor, and is now focussed on voice interfaces as a high-growth sector. XMOS is already a leading provider of far-field voice interface technology, capable of separating a distant voice from noise in our living spaces, and has the most comprehensive portfolio of far-field voice interfaces.
The H2020 project will enable the realisation of the next-generation in XMOS voice control technologies, including a reconfigured architecture with disruptively low upfront cost, and new context recognition capabilities. XMOS will target a serviceable addressable market for IoT devices of $4 billion (CAGR of 32%), including smart TVs and audio equipment, consumer appliances and automotive applications, growing revenue by 20-fold and creating over 200 jobs by 2024.",1
"Title: ERIGrid - European Research Infrastructure supporting Smart Grid Systems Technology Development, Validation and Roll Out Abstract: Renewable energy sources are key enablers to decrease greenhouse gas emissions and to cope with the anthropogenic global warming. The intermittent behaviour of them and their limited storage capabilities present new challenges to power system operators in maintaining power quality and reliability. However, the increased availability of advanced automation and communication technologies has also provided new intelligent solutions to these challenges. Previous work has presented various new methods to operate highly interconnected power grids with corresponding components in a more effective way. As a consequence of these developments the traditional power system is transformed into a cyber-physical system, a Smart Grid. Previous and ongoing research activities have mainly focused on validating certain aspects of Smart Grids, but until now no integrated approach for analysing and evaluating complex configurations in a cyber-physical systems manner is available. 

The lack of system validation approaches for Smart Grids is especially addressed by ERIGrid. By providing a Pan-European research infrastructure ERIGrid supports the technology development as well as the roll out of Smart Grid solutions and concepts in Europe. It tackles a holistic, cyber-physical systems based approach by integrating 18 European research centres and institutions with outstanding research infrastructures and jointly develops common methods, concepts, and procedures. ERIGrid also integrates and enhances the necessary research services for analysing, validating and testing Smart Grid configurations. System level support and education for industrial and academic researchers in is provided as well to foster future innovation. 

ERIGrid addresses these challenging aims by providing a single entry point to the provided research infrastructure and offering a broad spectrum of services to researchers active in Smart Grids. This will strengthen the technical leadership of Europe in the energy domain.",0
"Title: PestNu - Field -testing and demonstration of digital and space based technologies with  agro-ecological and organic practices in systemic innovation Abstract: PestNu targets the field -testing and demonstration of digital and space based technologies (DST) and agro-ecological and organic practices (AOP) under a systemic approach to reduce the pesticides and fertilisers use, and loss of nutrients. The consortium brings novel DST including: AI robotic traps for real time pest monitoring; Autonomous mobile robots for pesticide monitoring and 3D spot spraying; Earth Observation missions with robust Agroradar AI algorithms to map soil/plant nutrients and pest plant inputs using Copernicus data/services; and in-situ and real-time nutrient analysers. All the DST will be interconnected to a user-centric cloud-based Farm Management System, which features a robust Decision Support System integrated with a blockchain based system for DST data evidence, integrity and AI models verification and with a cybersecurity platform to prevent cyber-attacks and IoT vulnerabilities. The AOP include: on-site production of biofertilisers from agricultural waste-waters through a robust automated drainage recycling system via an innovative enzymatic hydrolysis procedure; a novel foliar biopesticide formulated by circular bioeconomy operations, targeting fungal diseases with biostimulant effect; and advanced nutritional programs for organic farming. The showcase systemic DST & AOP solutions will be demonstrated and tested in aquaponic and hydroponic greenhouse and open-field vegetable cultivation in Greece and Spain. A Pesticide Reduction Program will evaluate the Maximum Residue and the Acceptable Daily Intake levels to ensure vegetable's food safety and LCA activities will be performed. All these systemic approaches will be performed under a strong collaboration among all the Farm to Fork stakeholders and European Commission services.",0
"Title: ACORN - Nanoparticle-Based Therapeutic Applications and Detection of Carbon Monoxide Releasing Molecules Abstract: Carbon monoxide (CO) has gathered increasing attention because of its role as a gasotransmitter with therapeutic and cell-protective effects. It is also recognised as a cell-signalling molecule where recent developments in the area of CO-releasing molecules (CORMs) and materials for controlled CO application have shown their importance with respect to delivery of such agents to their respective targets. However, despite their promise, their remains two major bottlenecks that may prevent these compounds from reaching the clinic. Firstly, the precise spatial-temporal CO release of CORMs is not target-specific. The CO molecule is highly diffusive and binds to haemoproteins, which are ubiquitous. Secondly, CORMs are made of metal carbonyl complexes and as organometallic compounds, there is the potential of heavy metal toxicity. Moreover, since CORMs are water-soluble they are distributed throughout the body, which can lead to further increased toxicities against healthy tissues. Our project aims to alleviate some of the problems of CORMs by a) developing a method to monitor CO release by MRI and optical imaging; b) reformulate CORMs by encapsulating inside nanomaterials (specifically the FDA approved PLGA as a nanocarrier) and c) provide targeting of the CORMs to their site of delivery by conjugating peptide targeting moieties to the surface of the PLGA nanoparticle. Through the completion of these activities, I;;, supported by its twinning partners, is in the best position to achieve an improved capability to compete for internationally competitive research funding and to access business stakeholders. By claiming its position in research and innovation networks IMM will effectively contribute to research excellence and value creation in health at European level.",0
"Title: ICT4CART - ICT Infrastructure for Connected and Automated Road Transport Abstract: ICT4CART, totally aligned with the work programme, is providing an ICT infrastructure to enable the transition towards road transport automation. To meet this high level objective ICT4CART is bringing together, adapting and improving technological advances from different industries, mainly telecom, automotive and IT. It adopts a hybrid communication approach where all the major wireless technologies, i.e. cellular, ITS G5 and LTE-V, are integrated under a flexible “sliced” network architecture. This architecture will ensure performance and resilience for different groups of applications according to the needs of higher levels of automation (L3 & L4). On top of that, a distributed IT environment for data aggregation and analytics will be implemented. This offers seamless integration and exchange of data and services between all the different actors, allowing 3rd parties to develop, deliver and provide innovative services, thus creating new business opportunities. Cyber-security and data privacy aspects will be duly considered throughout the whole ICT infrastructure. In addition, novel accurate localisation services, exploiting the cellular network and information from other sources, such as on-board sensors, especially in complex areas (e.g. urban), will be addressed. Standardisation and interoperability are of high interest within ICT4CART in order to ensure the impact of the project towards enabling the transition to higher levels of automation. In this context issues related to the frequency spectrum will be investigated, while through the organisation of relevant workshops the engagement of policy makers and public authorities is ensured. To achieve its objectives ICT4CART, instead of working in generic solutions with questionable impact, it builds on four specific high-value use cases (urban and highway) which will be demonstrated and validated under real-life conditions at the test sites in Austria, Germany, Italy and across the Italian-Austrian border.",1
"Title: ExoplANETS A - Exoplanet Athmosphere New Emission Transmission Spectra Analysis Abstract: The last twenty years have witnessed an exceptionally fast development in the field of the extra solar planets. The known exoplanets, 3500 to date, already show how diverse the planets in our galaxy can be. While the detection of exoplanets is an important ongoing field of activity, the characterization of their atmospheres has just begun and it is developing very rapidly. A lot can be learnt from spectroscopic observations of an exoplanet atmosphere; the molecular composition of giant exoplanet atmospheres can trace the planet's formation and evolution; the atmosphere of rocky exoplanets can host biosignature gases... However, the observations are challenging because the signal is often embedded in instrumental and telescope systematic noise. In the ExoplANETS_A project, we will develop novel data calibration and spectral extraction tools, as well as novel retrieval tools, based on 3D models of exoplanet atmospheres, to exploit archival data from ESA Space Science archives (HST) combined with NASA Space Archives (Spitzer, Kepler) and produce a homogeneous and reliable characterization of exoplanet atmospheres. Additionally, to model successfully the atmosphere of an exoplanet, it is necessary to have a sound knowledge of the host star. To this end, we will collect a coherent and uniform database of the relevant properties of host stars from ESA Space Science archives (XMM, Gaia), combined with international space mission and ground-based data. These exoplanet and host star catalogues will be accompanied/interpreted with models to assess the importance of star – planet interactions. The knowledge gained from this project will be disseminated through peer-review publications and modelling tools will be publicly released.
In addition to the delivery of high level data products, state of the art tools, models and scientific publications, the project the project will ready us to rapidly exploit data from the James Webb Space Telescope, which is a highly competitive.",0
"Title: ROLEDS - Highly Efficient Photoemitters for Light-Emitting Diodes Based on Intramolecular Rotation Abstract: ""We have discovered a new class of photo- and electroluminescent complexes which are suitable for incorporation into organic light emitting diodes (OLEDs) and which give up to 100% internal quantum yield. The new compounds are particularly suitable for the fabrication of OLEDs via cheap solution-processing techniques and have so far reached 27% external quantum efficiency, a record for any solution-processed device. The new complexes have a linear, rotationally flexible structure, and it is this rotation that allows 100% of the excitation energy to be harvested, by a new emission mechanism (“rotationally accessed spin-state inversion”, RASI). OLEDs are widely used as flat-screen displays (TVs, smartphones), a multi-billion dollar market worldwide. The industry-leading emitters are based on complexes of iridium, one of the rarest elements on earth. Our emitters are compounds of copper, silver and gold, suitable as “slot-in” replacements of iridium. IPR is protected by two UK and one PCT World patent applications. The key discovery is that in certain types of coordination complexes based on carbene ligands the excited singlet state sinks below the excited triplet state during molecular rotation. To our knowledge this is the first realization of """"spin-state inverted"""" materials, until now discussed only as a theoretical concept. The result is efficient, very fast light harvesting with highly desirable short (sub-microsecond) excitation lifetimes, leading to high display brightness (in prototypes 20 times brighter than a HD TV screen), with potential lighting applications.""",1
