text,topics
"Title: Co-Inform - Co-Creating Misinformation-Resilient Societies Abstract: Misinformation generates misperceptions, which have affected policies in many domains, including economy, health, environment, and foreign policy. Co-Inform is about empowering citizens, journalists, and policymakers with co-created socio-technical solutions, to increase resilience to misinformation, and to generate more informed behaviors and policies. The aim of Co-Inform is to co-create these solutions, with citizens, journalists, and policymakers, for (a) detecting and combating a variety of misinforming posts and articles on social media, (b) supporting, persuading, and nourishing misinformation-resilient behavior, (c) bridging between the public on social media, external fact checking journalists, and policymakers, (d) understanding and predicting which misinforming news and content are likely to spread across which parts of the network and demographic sectors, (e) infiltrating echo-chambers on social media, to expose confirmation-biased networks to different perceptions and corrective information, and (f) providing policymakers with advanced misinformation analysis to support their policy making process and validation. 

To achieve these goals, Co-Inform will bring together a multidisciplinary team of scientists and practitioners, to foster co-creational methodologies and practices for engaging stakeholders in combating misinformation posts and news articles, combined with advanced intelligent methods for misinformation detection, misinformation flow prediction, and real-time processing and measurement of crowds' acceptance or refusal of misinformation. Co-Inform tools and platform will be made freely available and open sourced to maximize benefit and reuse. Three main stakeholder groups will be directly engaged throughout this process; citizens, journalists, and policymakers.","[""telecommunications networks""]"
"Title: SmartGraphene - Graphene based smart surfaces: from visible to microwave Abstract: The aim of this proposal is to develop adaptive camouflage systems using graphene-enabled smart surfaces. We propose a new class of active surfaces capable of real-time electrical-control of its appearance in a very broad spectrum ranging from visible to microwave covering 6 orders of magnitude in wavelength. The proposed method relies on controlling electromagnetic waves by tuning density of high-mobility charges on single or multilayers of atomically thin graphene electrodes. We will realize this goal by efficient gating of large-area graphene using ionic liquids which yields unprecedented ability to control intensity and phase of the reflected and transmitted electromagnetic waves from the surface. Based on underlying physical mechanisms and applications, the proposed research plan is structured in 3 main directions; (1) Active surfaces in microwave and THz, (2) Active thermal surfaces, and (3) Active surfaces in the visible. 

The core idea of the proposal is based on a mutually-gated capacitor structure consisting of ionic liquid electrolyte sandwiched between two large area graphene. The voltage applied between the electrodes polarizes the ionic liquid and accumulates high-density of charges. Combining large scale chemical synthesis of graphene, novel device architectures and ionic liquid electrolyte we will develop new tools to understand and control light-matter interaction in a very broad spectrum. Then we will use these tools to fabricate new camouflage and display technologies on flexible polymers and paper substrates which cannot be realized by conventional semiconducting materials. We will challenge specific applications, such as THz compressive imaging, reconfigurable thermal shields, and electronic paper display.

 At the basic science level, this project revisits and challenges our basic understanding of light-matter interaction, in parallel, the proposed graphene-based smart surfaces will serve as a tool for developing new enabling technologies.","[""radar""]"
"Title: NEUROCLOUD - A neural network builder with remotely controlled parallel computing Abstract: Neural network simulations have been a driving force behind our advances in the artificial intelligence filed, but also a key tool in our understanding of the human brain. However, exploring such networks usually engages substantial computational resources requiring specific programing skills and dedicated facilities. In our main project NETSIGNAL, we have developed computational environment ARACHNE aiming to facilitate high-end neural network exploration among scientific and industrial users. ARACHNE enables an investigator to construct and explore cellular networks of arbitrary biophysical and architectural complexity using a simple interface on a local computer or a mobile device. Through small-file exchange via the internet, the interface controls a pre-configured computational kernel installed on a remote computer cluster or cloud. Uniquely, ARACHNE can integrate traditional wired network connections with diffuse, volume-transmitted type of inter-cellular signalling, to reflect the emerging role of glia in brain processing. ARACHNE thus affords a flexible neural network design and incorporates latest advances in neuroscience while providing a portable console suitable for IT-untrained explorers. ARACHNE has passed a feasibility and novelty test by independent experts (Aleksin et al, PLoS Comp Biology 2017, in press), its test version is available on-line (https://github.com/LeonidSavtchenko/Arachne/). Our goal here is to determine market potential and the commercial viability of ARACHNE and its conceptual design, but also to establish industry-standard provisions for its commercial exploitation. We plan: (a) to upgrade ARACHNE technical specs, interface, support, etc. to the industry standard; (b)  to assess the market and the competitors; (c) to determine IPR position and strategy, (d) to explore budgeting and further funding strategy, (e) to establish initial provisions for its distribution and/or licensing of ARACHNE.","[""mobile network""]"
"Title: IDentIFY - Improving Diagnosis by Fast Field-Cycling MRI Abstract: Many diseases are inadequately diagnosed, or not diagnosed early enough by current imaging methods. Examples of unmet clinical needs arise in thromboembolic disease, osteoarthritis, cancer, sarcopenia, and many more areas. Our solution, Fast Field-Cycling (FFC) MRI, can measure quantitative information that is invisible to standard MRI. FFC scanners switch magnetic field while scanning the patient, obtaining new diagnostic information. FFC-MRI has been demonstrated by us, but many challenges must be solved before clinical adoption.
Objectives:
Understand the mechanisms determining FFC signals in tissues;
Create technology to measure and correct for environmental magnetic fields, enabling FFC at ultra-low fields;
Investigate contrast agents for FFC, to increase sensitivity and to allow molecular imaging;
Improve FFC technology, in order to extend its range of clinical applications;
Test FFC-MRI on tissue samples and on patients.
Achieved by:
Developing the theory of relaxation in tissue at ultra-low fields, leading to models and biomarkers;
Developing magnetometers for FFC-MRI, and environmental-field correction;
Creating and in vitro testing of new FFC contrast agents; studying existing clinical agents for FFC-MRI sensitivity;
Improving technology to monitor and stabilise magnetic fields in FFC; improving magnet power supply stability; investigating better radiofrequency coils and acquisition pulse sequences;
Testing FFC methods on tissue samples from surgery and tissue banks; proof-of-principle scans on patients.
FFC-MRI is a paradigm-shifting technology which will generate new, quantitative disease biomarkers, directly informing and improving clinical diagnosis, treatment decisions and treatment monitoring. Its lower cost contributes to healthcare sustainability. The proposal consolidates the EU lead in FFC technology and uses new concepts from world-leading teams to deliver solutions based on innovations in theory, modelling, physics, chemistry and engineering.","[""radio frequency""]"
"Title: MolCellTissMech - Molecular and cellular determinants of cell monolayer mechanics Abstract: Epithelial monolayers are amongst the simplest tissues in the body, yet they play fundamental roles in adult organisms where they separate the internal environment from the external environment and in development when the intrinsic forces generated by cells within the monolayer drive tissue morphogenesis. The mechanics of these simple tissues is dictated by the cytoskeletal and adhesive proteins that interface the constituent cells into a tissue-scale mechanical syncitium. Mutations in these proteins lead to diseases with fragilised epithelia. However, a quantitative understanding of how subcellular structures govern monolayer mechanics, how cells sense their mechanical environment and what mechanical forces participate in tissue morphogenesis is lacking.

To overcome these challenges, my lab devised a new technique to study the mechanics of load-bearing monolayers under well-controlled mechanical conditions while allowing imaging at subcellular, cellular and tissue resolutions. Using this instrument, my proposal aims to understand the molecular determinants of monolayer mechanics as well as the cellular behaviours that drive tissue morphogenesis.  I will focus on four objectives: 1) discover the molecular determinants of monolayer mechanics, 2) characterise monolayer mechanics, 3) dissect how tension is sensed by monolayers, and 4) investigate the biophysics of individual cell behaviours participating in tissue morphogenesis.

Together these studies will enable us to understand how monolayer mechanics is affected by changes in single cell behaviour, subcellular organisation, and molecular turnover. This multi-scale characterisation of monolayer mechanics will set the stage for new theoretical descriptions of living tissues involving both molecular-scale phenomena (cytoskeletal turnover, contractility, and protein unfolding) operating on short time-scales and rearrangements due to cell-scale phenomena (cell intercalation, cell division) acting on longer times.","[""mobile phones""]"
"Title: 5G-AURA - Application-aware User-centric Programmable Architectures for 5G Multi-tenant Networks Abstract: The vision of future 5G networks encompasses a heterogeneous communication landscape in which existing Radio Access Technologies (RATs) will be integrated with evolving wireless technologies and systems, software-design network architectures and cloud-enabled services. Effectively harnessing the potential of all these innovative and heterogeneous features and providing a programmable multi-tenant network architectural framework will be the key to the success of 5G, and will be the main objective of the 5G-AURA project. Instead of focusing separately on the optimization of the diverse technological and architectural components, our efforts will be concentrated on providing a unifying framework that will sustain the coexistence and coordination of networking, software and cloud technologies, ensure network programmability and efficient resource orchestration, minimize control and signalling overhead, support multi-tenancy and scalability, and promote the development of new business models for emerging services. To efficiently achieve these objectives, 5G-AURA has identified 12 specific research challenges which have been mapped to 14 individual projects that will be carried out by 14 recruited ESRs. The project’s consortium, formed by four academic institutions and four industrial partners, has the necessary expertise and available infrastructures to form a high quality training network across multiple disciplines, sectors and countries. Considering that 5G is currently in an early development state and there are multiple open issues on 5G protocols, network architectures and technologies and standardization efforts, the timing of 5G-AURA is perfect, and the project has a strong potential to have significant impact on academia and industry and enhance the European innovation capacity in terms of technical contributions, intersectoral training of scientists and professional and novel business opportunities.","[""5G""]"
"Title: PANBioRA - Personalized And/Or Generalized Integrated Biomaterial Risk Assessment Abstract: PANBioRA aims at providing a comprehensive solution for the time- and cost-effective risk assessment of i) new biomaterials under health or disease states or ii) a given biomaterial for each patient in a personalized manner. It will standardize the evaluation of biomaterials and open the venue for pre-implantation, personalized diagnostics for biomaterial based applications.   
PANBioRA will provide a modular platform to assess risks at different aspects and length scales. This comprises antibody response, cytotoxicity/genotoxicity at cell level, systemic and local effects at tissue and connected tissues (organ-on-a-chip) level. Moreover, physicochemical and biomechanical characterisation as well as predictive modelling at systems level will complement the system. This will be achieved by connecting testing modules in a structure supported by web-based modelling and risk radar tools together with a biomechanical testing system.
The platform will incorporate standardized protocols yielding significantly more information than the current methods for biomaterial risk assessment. Its accuracy will be demonstrated using known reference materials and validated in a pre-clinical setting.
PANBioRA will for the first time, predict the patient specific response to a given biomaterial before its implantation. This measure will allow for the selection of the best suitable material, minimizing side effects and improving health outcomes. 
It will also accelerate the process of validation of the biocompatibility of new devices by providing an automated, comprehensive process for the parallel assessment of risks at different scales aiding new biomaterial discovery and commercialisation. 
Altogether, PANBioRA will lead to a substantial economic impact due to a reduction of the amount of tests, decrease in healthcare costs due to complications. It will provide the necessary tools proper risk management related to biomaterials.","[""radar""]"
"Title: SCREEN - Space Cognitive Radio for Electromagnetic Environment maNagement Abstract: The SCREEN project brings the concept of cognitive radio to Space and exploits the benefits that this technology has already shown in the terrestrial domain. The project will look into analysing, developing, implementing and testing cognitive radio algorithms. The ground breaking element in SCREEN is however the implementation and testing. Even though some of the underlying technologies for the individual stages are not novel, the incorporation of all stages in a radio transceiver has never been done to the full extent of a cognitive, and not adaptive, system.

The key enabling technology for cognitive radio is Software-Defined Radio (SDR), which provides the required flexibility to reconfigure the radio parameters autonomously and without any changes in the transceiver hardware. The Consortium will make use of proprietary SDR technology and use it for the implementation and testing. In fact, the project approach is to make use of terrestrial research results in cognitive radio at all levels (technological, market and regulatory) and capitalise the previous work done in different projects, avoiding unnecessary duplication of efforts. The target spectrum band for this project is S-band, which is underexplored and has a strong potential for future niche applications both in satcom and in ISLs for multi-satellite missions. It also brings advantages regarding regulatory concerns.

This project clearly fits the topic, not only because its main goal is to evolve an innovative technology up to TRL4/5, but also because cognitive radio is a key enabling technology for the areas identified by the topic. This technology will lead to a new generation of satcom payloads and also have massive impact on ISLs and downlink subsystems. It also brings a terrestrial technology to space, together with new players, which has the possibility to dramatically improve the performance, efficiency and versatility of space communications.","[""cognitive radio""]"
"Title: TESTBED - Testing and Evaluating Sophisticated information and communication Technologies for enaBling a smartEr griD Abstract: Smart grid represents a significant new technology of improving the efficiency, reliability, and economics of the production, transmission, and distribution of electricity. It is crucial to exchange and use information for performing smart grid applications. However, in reality the exchange of information over multiple networks is unreliable, leading to unpredictable network Quality-of-Service and thus unreliable smart grid applications. What’s worse, there are massive data, including metering data and measurement data,  structured or unstructured, making it challenging to exploit useful information. Hence, there is an urgent need to solve the research problem: how to coordinate multiple networks to reliably transmit data, and then manage ICT system resources to efficiently extract useful information for supporting smart grid applications?
TESTBED is a major interdisciplinary project that combines wisdoms in three academic disciplines - Electronics Engineering, Power Engineering and Computing Sciences, to address the aforesaid problem. The main focus is on improving the communication layer interoperability and the efficiency of data analytic. Regarding the communication layer interoperability, this project intends to develop and evaluate function-driven communication frameworks. Moreover, this project will develop and verify new data integration and analytic techniques for enhancing power grid operations. These developed frameworks and methods will be extensively tested and evaluated in 4 well-equipped Laboratories at HWU, EPRI, ICCS, and CAS. They will not only support the SGAM Framework, but also complement and enhance International Standards. 
Overall, the main objective of this project is to coordinate the action of 5 Universities and 3 enterprises, working in the field of ICT and smart grid from both EU and China, to build and test sophisticated ICT, thereby facilitating the successful implementation of smart grid applications.","[""telecommunications networks"", ""cognitive radio""]"
"Title: COSAFE - Cooperative Connected Intelligent Vehicles for Safe and Efficient Road Transport Abstract: Road accidents and traffic congestion are causing serious problems for global transport systems. More than 1.2 million people die each year due to road accidents. Connected vehicles and autonomous vehicles are two promising technologies that can improve road transport safe and efficiency, but they both have inherent shortcomings. This project proposes an innovative solution of cooperative connected intelligent vehicles, where vehicular communications technology and resource sharing and cooperation are exploited, to tackle the road transport challenges, and deliver enhanced road safety and efficiency. An international cross-sector and cross-disciplinary consortium consisting of world leading academic institutions, prominent industry and policymaker partners is created to collaborate on developing innovative CIV technologies and applications, with the support of novel vehicle communications and cooperative resource sharing. Advanced research technologies in vehicle communication, vehicle edge computing, machine learning, data fusion, advanced driving systems, and cellular network resource management will be applied to tackle the associated challenges. The resulting CIV technologies and applications will help reduce road accidents, improve transportation efficiency and reduce traffic congestion. They hold great potential for technology innovation, and are directly applicable to autonomous driving, smart cities, and the wider scientific community. With competent and complementary expertise of the partners and their extensive international research collaboration experience, COSAFE will promote knowledge sharing, foster research innovation, enhance the potentials of participating researchers, and contribute to the European competitiveness and leadership in the automotive and ICT sectors. Existing research links among the partners will be strengthened. New and sustainable collaborations will be developed to build up world-class research in road safe systems.","[""mobile network""]"
